,,,tt(1l),,,tt(2l),,,ttW,,,ttZ,,,Rarett+X(Y),,,V/VV/VVV,,,Total,,,data,,,Ratio,,,C2V=6,,,C2V=4.5,,,C2V=-2,,,C2V=3,,
Tight,MT,On Mbb-peak,Only Mjj500,17.569,±,2.051,5.636,±,1.24,0.408,±,0.06,0.445,±,0.167,0.786,±,0.135,0.209,±,0.209,25.051,±,2.416,0.0,±,0.0,0.0,±,0.0,1.316,±,0.145,0.643,±,0.023,0.498,±,0.054,0.223,±,0.026
Tight,MT,Off Mbb-peak,Only Mjj500,51.683,±,3.528,19.559,±,2.299,1.6,±,0.111,0.765,±,0.244,3.472,±,0.405,0.093,±,0.057,77.172,±,4.239,51.0,±,7.141,0.661,±,0.099,0.161,±,0.051,0.126,±,0.01,0.069,±,0.02,0.024,±,0.009
Tight,LT,On Mbb-peak,Only Mjj500,31.327,±,2.927,10.18,±,1.63,0.824,±,0.081,0.625,±,0.17,1.649,±,0.272,0.209,±,0.209,44.814,±,3.373,0.0,±,0.0,0.0,±,0.0,2.296,±,0.192,1.147,±,0.031,0.822,±,0.069,0.401,±,0.035
Tight,LT,Off Mbb-peak,Only Mjj500,91.008,±,4.589,30.516,±,2.706,2.631,±,0.146,1.452,±,0.304,6.343,±,0.637,4.035,±,3.714,135.984,±,6.535,97.0,±,9.849,0.713,±,0.08,0.289,±,0.068,0.216,±,0.013,0.116,±,0.026,0.061,±,0.014
Tight,EE,On Mbb-peak,Only LeadLep140,3.021,±,0.836,0.4,±,0.231,1.365,±,0.1,0.798,±,0.192,0.478,±,0.034,0.043,±,0.031,6.105,±,0.895,0.0,±,0.0,0.0,±,0.0,1.204,±,0.139,0.602,±,0.023,0.452,±,0.051,0.217,±,0.026
Tight,EE,Off Mbb-peak,Only LeadLep140,5.478,±,1.221,2.438,±,0.659,4.183,±,0.177,2.63,±,0.444,2.003,±,0.177,0.11,±,0.043,16.841,±,1.479,11.0,±,3.317,0.653,±,0.205,0.225,±,0.06,0.113,±,0.01,0.087,±,0.022,0.052,±,0.013
Tight,EM,On Mbb-peak,Only LeadLep140,3.235,±,0.984,0.324,±,0.232,3.025,±,0.154,0.714,±,0.254,1.348,±,0.173,0.093,±,0.042,8.738,±,1.069,0.0,±,0.0,0.0,±,0.0,3.291,±,0.23,1.464,±,0.035,1.025,±,0.077,0.471,±,0.038
Tight,EM,Off Mbb-peak,Only LeadLep140,8.619,±,1.43,2.4,±,0.629,10.406,±,0.283,4.355,±,0.62,4.531,±,0.103,0.319,±,0.096,30.631,±,1.71,33.0,±,5.745,1.077,±,0.197,0.754,±,0.11,0.308,±,0.016,0.226,±,0.036,0.058,±,0.013
Tight,MM,On Mbb-peak,Only LeadLep140,0.0,±,0.0,0.324,±,0.232,2.013,±,0.123,0.256,±,0.05,0.628,±,0.038,0.009,±,0.009,3.229,±,0.271,0.0,±,0.0,0.0,±,0.0,1.926,±,0.176,0.911,±,0.028,0.62,±,0.06,0.275,±,0.029
Tight,MM,Off Mbb-peak,Only LeadLep140,0.796,±,0.577,0.0,±,0.0,7.352,±,0.233,1.513,±,0.315,2.939,±,0.08,0.255,±,0.079,12.856,±,0.706,19.0,±,4.359,1.478,±,0.349,0.53,±,0.092,0.208,±,0.013,0.145,±,0.029,0.058,±,0.013
